reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
DropBear,DropBear,msat,6,0.06467843055725098,0.12675738334655762,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,7,0.06480526924133301,0.127824068069458,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,8,0.07545661926269531,0.1310262680053711,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,9,0.0634317398071289,0.12357378005981445,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,1,0.04820871353149414,0.10516667366027832,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,10,0.04613041877746582,0.09636092185974121,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,2,0.04529142379760742,0.09678506851196289,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,3,0.046335697174072266,0.10979676246643066,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,4,0.05962729454040527,0.21044683456420898,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,5,0.048062801361083984,0.09575939178466797,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,6,0.04653120040893555,0.09522175788879395,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,7,0.046472787857055664,0.14039349555969238,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,8,0.06725335121154785,0.14914345741271973,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,yices,9,0.046920061111450195,0.10368490219116211,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,z3,1,0.06281685829162598,0.13019299507141113,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,z3,10,0.06264758110046387,0.11791396141052246,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,z3,2,0.05938386917114258,0.11591482162475586,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,z3,3,0.05936741828918457,0.1174936294555664,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,z3,4,0.06924605369567871,0.15607190132141113,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,z3,5,0.06015348434448242,0.11805868148803711,1.0,1.0,1.0,18,222,18,222,18,222
